商家名,商圈,类型,评分,城市,人均价格
湘·家乡味,明光路,湘菜,8.833333333333334,西安,34
小玖湘·湘菜小炒,未央路沿线,湘菜,8.399999999999999,西安,55
老游独一佳湘菜馆,丈八,湘菜,8.266666666666666,西安,47
独一佳老胡湘菜馆,和平门/建国门,湘菜,7.566666666666666,西安,54
菜很下饭·辣椒炒肉,未央路沿线,湘菜,8.6,西安,55
建辉湖南土菜馆,钟楼/鼓楼,湘菜,7.3,西安,53
旺角花花肠子馆,朱宏路,湘菜,8.166666666666666,西安,61
望湘园,大雁塔,湘菜,8.5,西安,75
花花肠子馆,西安交大东校区,湘菜,8.700000000000001,西安,59
微湘小馆,小雁塔,湘菜,8.366666666666667,西安,46
湘水肴湘咖复合式餐厅,丈八,湘菜,8.766666666666666,西安,75
湘约东风号,韩森寨,湘菜,7.766666666666667,西安,64
潇湘·湖南招牌菜,安定门,湘菜,8.166666666666666,西安,50
鹿林间·中餐厅,航天城,湘菜,8.466666666666667,西安,57
花湘阁,电子城,湘菜,8.666666666666666,西安,75
玺湘荟湘菜鱼头餐厅,浐灞生态区,湘菜,8.3,西安,46
蛙来哒,太白立交,湘菜,7.466666666666666,西安,0
小湖南湘菜,丈八,湘菜,8.066666666666668,西安,47
湘厨爱上饭,李家村,湘菜,7.666666666666667,西安,0
望湘园·洞庭渔宴,郭杜,湘菜,8.733333333333333,西安,78
湘当有味,未央路沿线,湘菜,7.833333333333333,西安,56
老区湘馆,雁翔路,湘菜,8.233333333333334,西安,56
嘻范剁椒鱼头,高新路沿线,湘菜,8.333333333333334,西安,64
小食候湘·湘菜馆,金花路沿线,湘菜,8.200000000000001,西安,62
巧手厨娘,文景路,湘菜,8.066666666666668,西安,62
爱饭,金花路沿线,湘菜,7.666666666666667,西安,63
鱼大厨川湘菜,浐灞生态区,湘菜,8.299999999999999,西安,38
苏湘汇私房菜馆,辛家庙,湘菜,7.266666666666667,西安,0
进家门,唐延路沿线,湘菜,7.966666666666666,西安,66
徐家土钵菜,丈八,湘菜,7.599999999999999,西安,51
湘约爨厨,吉祥村,湘菜,8.299999999999999,西安,77
火宫殿,胡家庙,湘菜,7.933333333333334,西安,69
海升酒店国食天香中餐厅,高新路沿线,湘菜,7.566666666666666,西安,77
鸿禧倌茶油炒鸡,丈八,湘菜,7.866666666666667,西安,63
食客湘,丈八,湘菜,7.7,西安,75
食客原味湘菜,李家村,湘菜,8.3,西安,57
爱上食樂湘,李家村,湘菜,7.7,西安,60
阿瓦山寨,吉祥村,湘菜,6.833333333333333,西安,73
益阳味道,南大学城,湘菜,7.633333333333333,西安,62
川湘私厨,交大东校区/理工大,湘菜,6.966666666666668,西安,0
嘻范·剁椒鱼头,北关,湘菜,7.833333333333333,西安,65
泛湘湖南菜,丈八,湘菜,7.900000000000001,西安,53
悦宾楼,浐灞生态区,湘菜,6.900000000000001,西安,0
付记臭桂鱼,丈八,湘菜,7.966666666666666,西安,83
湘粤情大酒店,电子城,湘菜,7.433333333333334,西安,105
长沙印象,丈八,湘菜,7.5,西安,0
印山红食记,未央路沿线,湘菜,7.300000000000001,西安,65
独一味湘菜,金花路沿线,湘菜,7.3999999999999995,西安,65
湘见中国菜,辛家庙,湘菜,7.5,西安,0
拾贰号集装湘,金花路沿线,湘菜,7.966666666666666,西安,45
毛家香酒楼,三森,湘菜,7.033333333333334,西安,52
妈厨印象老坛剁椒鱼头,未央路沿线,湘菜,7.833333333333333,西安,58
嘻范·湖南菜 剁椒鱼头,文景路,湘菜,8.266666666666667,西安,56
连大湖南土菜馆,西北大/西工大,湘菜,7.466666666666666,西安,34
小饭局,莲湖区,湘菜,7.400000000000001,西安,52
妙勺湘菜馆,太华路沿线,湘菜,7.666666666666667,西安,77
好汉坡长沙菜,文景路,湘菜,7.566666666666666,西安,63
西湘荟,浐灞生态区,湘菜,6.900000000000001,西安,0
祎（yi）三湘·湖南湘菜,浐灞生态区,湘菜,7.433333333333334,西安,55
百味居餐饮,大兴新区,湘菜,7.133333333333333,西安,84
湘匯大碗菜,明光路,湘菜,7.433333333333334,西安,41
食在谷子湘,翠华路,湘菜,7.466666666666666,西安,0
好亦友小厨,胡家庙,湘菜,6.7,西安,0
湘厂湘菜,汉城路沿线,湘菜,7.566666666666666,西安,52
大自然湖南土菜馆,南大学城,湘菜,6.866666666666667,西安,0
肉汤泡饭•湘菜馆,东门外,湘菜,7.5,西安,51
朋厨,建工路,湘菜,7.366666666666667,西安,64
悦湘缘,浐灞生态区,湘菜,7.733333333333333,西安,51
味厨湖南土菜馆,南大街,湘菜,7.300000000000001,西安,32
韶山湘菜,桃园路,湘菜,7.466666666666666,西安,47
老陈家湖南土菜馆,灞业大境,湘菜,7.5,西安,53
湘味小厨,丈八,湘菜,7.266666666666667,西安,0
湖南菜馆,小雁塔/南稍门,湘菜,7.533333333333334,西安,80
湖南土菜馆,航天城,湘菜,7.0,西安,38
湘厨新派湖南土菜,小寨,湘菜,7.400000000000001,西安,22
刘三姐湘菜,人民路/文化路,湘菜,7.533333333333332,西安,37
品湘居湖南土家菜,西北大/西工大,湘菜,6.599999999999999,西安,80
湘悦善•本味湘菜,未央路沿线,湘菜,6.900000000000001,西安,0
东宝大碗面川湘菜,红庙坡,湘菜,7.066666666666666,西安,28
品湘厨,航天城,湘菜,7.266666666666667,西安,100
渔湘码头精致下饭菜,浐灞生态区,湘菜,7.099999999999999,西安,0
湖南土菜,小寨,湘菜,7.233333333333333,西安,36
三十六道川湘菜,未央路沿线,湘菜,7.233333333333333,西安,36
湘钵仕,辛家庙,湘菜,7.333333333333333,西安,59
湘雅莱湘菜馆,丈八,湘菜,7.300000000000001,西安,0
韶山冲湘菜馆,浐灞生态区,湘菜,7.233333333333333,西安,58
